Name, Invalid, Acoat, Glow Time, Glow Pressure, Hydro Front Time, Hydro Back Time, Overcoat Time, Total Steps, Is Red
LO INDEX MONO   B, OFF, 0, 0, 0, 0, 0, 0, 1, OFF
HI INDEX MONO  B, OFF, 0, 0, 0, 0, 0, 0, 1, OFF
CROME MONO 3NM- 15, OFF, , 0, 0, 0, 0, 0, 1, OFF
GREEN MIRROR RB TECH, OFF, , 0, 50, 9, 9, 0, 9, OFF
CALIENTE MIRROR RB TECH, OFF, , 0, 50, 9, 9, 0, 11, OFF
CHROME MIRROR RB TECH, OFF, , 0, 50, 9, 9, 0, 7, OFF
CHROME MIRROR FAST FT, OFF, 2, 0, 3, 11, 0, 0, 2, OFF
SILVER FLASH-567, OFF, 2, 0, 3, 12, 11, 0, 3, OFF
CHROME MIRROR WC  2, OFF, 2, 0, 3, 9, 11, 0, 7, OFF
COBALT UVAR BACK, OFF, , 0, 0, 0, 9, 0, 5, OFF
DIGITAL EYE STRAIN   D, OFF, D, 0, 50, 12, 11, 0, 7, OFF
FLASH BLUE F B, OFF, , 0, 0, 0, 0, 0, 2, OFF
FLASH GOLD F B, OFF, , 0, 0, 0, 0, 0, 2, OFF
FLASH BLUE F, OFF, , 0, 0, 0, 0, 0, 2, OFF
FLASH GOLD F AR BK, OFF, , 0, 0, 11, 13, 0, 7, OFF
FLASH BLUE B, OFF, , 0, 0, 0, 0, 0, 2, OFF
FLASH GOLD B, OFF, , 0, 0, 0, 0, 0, 2, OFF
RB TECH BACK, OFF, , 0, 50, 0, 9, 0, 5, OFF
COSTA BLUE  4 AR BK, OFF, 4, 0, 3, 9, 13, 0, 10, OFF
SI F-B COND, OFF, 0, 0, 0, 0, 0, 0, 4, OFF
ZR COND, OFF, 0, 0, 0, 0, 0, 0, 3, OFF
CR COND, OFF, , 0, 0, 0, 0, 0, 3, OFF
BLUE VIOLET  1  AR AZUL, OFF, 1, 0, 3, 9, 0, 0, 12, OFF
